"","ID","DISEASE_TYPE","YEAR","LAT","LON","REGION","SUBREGION","COUNTRY","LOCATION","NEAREST_TOWN","GENUS_SPECIES","PERCENTAGE_INCIDENCE","DISEASE_REMARKS","MORTALITY_PERCENTAGE","DISEASED_PERCENTAGE","REFERENCE_ID","REMARKS","COUNTRY_CODE","SOURCE"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",28193,"No disease",2004,-8.13675,125.6423056,"","","","Acrema","Atauro, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 7m, % incidence averaged from four consecutive 20m transect sections","TLS",""
"4",28194,"No disease",2004,-8.13675,125.6423056,"","","","Acrema","Atauro, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 14m, % incidence averaged from four consecutive 20m transect sections","TLS",""
"5",2967,"No disease",2002,18.233333,-63.05,"","","","Blackgarden","Anguilla, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 5.5m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"6",31403,"Aspergillosis",2009,15.94,-86.52,"","","","Cayo Timon","Roatan","No data","No data","No data","No data","No data",NA,"Reef Check, submitted by Jonathan Shrives. Reef ID: 86.31.23W.15.56.16.6N","",""
"7",31642,"Unknown",2007,18.47,-77.41,"","","","Dancing Lady","Discovery Bay","No data","","","","",NA,"Reef Check Submitted By Loureene Jones. Reef ID 77.24.60W.18.28.35N","",""
"8",3788,"No disease",2003,18.46666667,-64.525,"","","","Diamond Reef","Great Camanoe, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"9",3789,"No disease",2003,18.46666667,-64.525,"","","","Diamond Reef","Great Camanoe, ","","0","no disease","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 3m, % incidence averaged from four consecutive 20m transect sections","VGB",""
"10",2702,"Black-band Disease",2001,18.466667,-64.525,"","","","Diamond Reef","Great Camanoe, ","","1","Few (2-50) colonies","unknown","unknown",NA,"Source: Reef Check, 2005; General Comments: depth was 10m, % incidence averaged from four consecutive 20m transect sections","VGB",""
