"","ID","REGION","SUBREGION","COUNTRY","SITE_CODE","IUCNCAT_CODE","LAT","LON","YEAR_ESTABLISH","TYPE","CODE","NAME","MARINE_EXISTING","LITTORAL_EXISTING","CORAL_EXISTING","REEF_AREA_SIZE","SEAGRASS_EXISTING","MANGROVE_EXISTING","COUNTRY_CODE"
"1",609,"","","",166936,"II",-6.23232,71.316667,1998,"Strict Nature Reserve","SNR","Cow Island",1,1,1,11268,0,0,"British In"
"2",602,"","","",166935,"II",-6.38697,71.266667,1998,"Strict Nature Reserve","SNR","Danger Island",1,1,1,13304,0,0,"British In"
"3",635,"","","",166938,"II",-5.333333,71.883333,1998,"Strict Nature Reserve","SNR","Eastern Peros Banhos Atoll",1,1,1,82290,0,0,"British In"
"4",627,"","","",166937,"II",-5.67959,72.333333,1998,"Strict Nature Reserve","SNR","Nelson Island",1,1,1,11892,0,0,"British In"
"5",2090,"","","",12043,"IV",22.85,59.833,1991,"Reserve","R","Ra's Al Hadd Turtle Reserve",1,1,0,8000,0,0,"PMN"
"6",611,"","","",166933,"II",-6.116667,71.55,1998,"Strict Nature Reserve","SNR","Three Brothers and Resurgent Islands",1,1,1,18694,0,0,"British In"
"7",1886,"","","Mauritania",797,"II",20.073999,-16.409,1976,"National Park","NP","Banc d'Arguin",1,1,0,1173000,1,1,"MRT"
"8",403,"","","St. Helena",18104,"IV",-15.967,-5.733,1955,"Forest Reserve","FoR","High Peak",0,1,0,6,0,0,"SHN"
"9",1125,"","","Suriname",281,"IV",5.958776,-55.70941,1966,"Nature Reserve","NR","Coppename Monding",0,1,0,12000,0,1,"SUR"
"10",1113,"","","Suriname",282,"IV",5.773916,-54.01688,1969,"Nature Reserve","NR","Galibi",0,1,0,4000,0,1,"SUR"
"11",1121,"","","Suriname",280,"IV",5.898682,-54.50682,1961,"Nature Reserve","NR","Wia-wia",0,1,0,36000,0,1,"SUR"
"12",581,"","","United Kingdom",166939,"V",-7.383333,72.466667,1994,"Restricted Area","RestA","Diego Garcia",1,1,1,0,1,0,"GBR"
