"","ID","REGION","SUBREGION","COUNTRY","PROGRAM_NAME","PROGRAM_CODE","YEAR","SITE_CODE","SITE_NAME","LAT","LON","WATER_DEPTH","SOURCES","COUNTRY_CODE"
"1",9002426,"","","","Reef Check","RC","2003","72.40.855W.18.56.012N","Bo wout montrois",18.9335333333333,-72.6809166666667,"","Reef Check Foundation, rcdata@reefcheck.org","Haiti"
"2",9002422,"","","","Reef Check","RC","2003","72.38.532W.18.48.510N","Ile Fa (Lighthouse Island)",18.8039722222222,-72.6503888888889,"","Reef Check Foundation, rcdata@reefcheck.org","Haiti"
"3",9002425,"","","","Reef Check","RC","2003","72.39.107W.18.47.604N","Ile Sud",18.7933888888889,-72.6517777777778,"","Reef Check Foundation, rcdata@reefcheck.org","Haiti"
"4",9002423,"","","","Reef Check","RC","2003","72.38.532W.18.48.51N","Ti 'Teal (Likkle Hiland)",18.8085,-72.6421944444445,"","Reef Check Foundation, rcdata@reefcheck.org","Haiti"
"5",9002424,"","","","Reef Check","RC","2003","72.38.850W.18.54.827N","Trou Forban",18.9137777777778,-72.6475,"","Reef Check Foundation, rcdata@reefcheck.org","Haiti"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",8000970,"","","Colombia (Atlantic)","Caribbean Coastal Marine Productivity Program","CARICOMP","1993, 1994, 1995, 1996, 1997, 1998","","Chengue Bay 11N074W0010",11.3333301544189,-74.15,"12","Dulcie Linton, dmlinton@uwimona.edu.jm","COL_ATL"
"8",94001344,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2000, 2001, 2002","","Acuario Original",12.511833190918,-81.71616,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"9",94001345,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2000, 2001, 2002","","Acuario Replica",12.548999786377,-81.697,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"10",94001346,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","2000, 2001, 2002","","Bar Medio",13.3713836669922,-81.697,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"11",94001347,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","2000, 2001, 2002","","Bar somero",13.367166519165,-81.397,"6","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"12",94001337,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2000, 2001","","Canal",13.3987169265747,-81.39706,"18","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"13",94001340,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","2000, 2002, 2003","","Ceycén",9.70583343505859,-75.86584,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"14",94001330,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002","","Chengue Bay",11.1333332061768,-74.33334,"18","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"15",94001350,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2000, 2001","","El Morro Santa Marta",11.2490282058716,-74.23186,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"16",94001348,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC"," 2000, 2001, 2002","","Emisario San Andrés",12.568699836731,-81.7258,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"17",94001336,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2000, 2001, 2002","","La Iguana",12.513879776001,-81.74639,"18","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"18",94001349,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","1998, 1999, 2000, 2001, 2002","","Little reef",12.606388092041,-81.7325,"12","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
"19",94001341,"","","Colombia (Atlantic)","Sistema Nacionalde Monitoreo de Arrecifes Coralinos en  Colombia","SIMAC","2002, 2003","","Mangle",9.77741622924805,-75.78539,"13","Jaime Garzon-Ferreira, jgarzon@invemar.org.co","COL_ATL"
