"","ID","REGION","SUBREGION","COUNTRY","LOCATION","LAT","LON","REEF_SYSTEM","REEF_TYPE","REEF_NAME","WATER_DEPTH","ISLAND_NAME","PROTECTED","TOURISM","COUNTRY_CODE"
"1",33,"","","","",0.21667,-176.48333,"Baker Island","Fringing","Baker Island",NA,"",1,0,""
"2",7976,"","","","",0.03333,6.66667,"Spo TomT and Prfncipe","Non-reef coral community","Spo TomT and Prfncipe",NA,"",0,0,""
"3",3575,"","","","",27.95,-82.95,"Clearwater","","Clearwater",NA,"",0,1,""
"4",10302,"","","","",28.88333,34.73333,"Gulf of Aqaba","","Gulf of Aqaba",NA,"",0,0,""
"5",3948,"","","","",26.88333,-82.56667,"Crystal River","","Crystal River",NA,"",0,1,""
"6",1352,"","","","",26.06667,-80.06667,"John U. Lloyd","","John U. Lloyd",NA,"",1,0,""
"7",10670,"","","","",26.70033,-80.01667,"","","Breakers Reef",NA,"",0,0,""
"8",9101,"","","","",24.85,-80.56667,"Florida Reef Tract","Patch Reef","Hens and Chickens",NA,"",0,0,""
"9",10653,"","","","",24.83367,-80.61667,"","","Alligator Spa",NA,"",0,0,""
"10",10654,"","","","",24.9,-80.60033,"","","Cheeca Rocks",NA,"",0,0,""
"11",10655,"","","","",24.68333,-80.95033,"","","Coffins Patch",NA,"",0,0,""
"12",10656,"","","","",24.95,-80.45,"","","Conch Reef",NA,"",0,0,""
"13",10657,"","","","",24.90033,-80.51667,"","","Crocker Control",NA,"",0,0,""
"14",10658,"","","","",24.91667,-80.5,"Florida Reef Tract","Platform","Davis Reef",NA,"",0,0,""
"15",10659,"","","","",24.98333,-80.40033,"","","Pickles Reef",NA,"",0,0,""
"16",10660,"","","","",24.73367,-80.767,"","","Tennessee Reef",NA,"",0,0,""
"17",10593,"","","","",24.5,-81.05,"Florida Reef Tract","","Florida Keys",NA,"",0,0,""
"18",10661,"","","","",24.45033,-81.83367,"Florida Reef Tract","","Eastern Dry Rocks",NA,"",0,0,""
"19",10662,"","","","",24.48367,-81.65033,"Florida Reef Tract","","Eastern Sambos",NA,"",0,0,""
"20",10663,"","","","",24.60033,-81.38367,"Florida Reef Tract","","Newfound Harbor",NA,"",0,0,""
"21",10664,"","","","",24.45,-81.85,"Florida Reef Tract","","Rock Key",NA,"",0,0,""
"22",10665,"","","","",24.45,-81.867,"Florida Reef Tract","","Sand Key",NA,"",0,0,""
"23",10666,"","","","",24.617,-81.10033,"Florida Reef Tract","","Sombrero Reef ( Sombrero Key )",NA,"",0,0,""
"24",10667,"","","","",24.55,-81.667,"Florida Reef Tract","","Western Sambos",NA,"",0,0,""
"25",10668,"","","","",25.117,-80.28367,"Florida Reef Tract","","Dry Rocks",NA,"",0,0,""
"26",7946,"","","","",7,150,"Carolines","All structures present","Micronesia",NA,"Caroline Islands",0,1,""
"27",236,"","","","",8.76667,150.03333,"Namotiuto","Atoll","Namotiuto",NA,"Westerns",0,0,""
"28",777,"","","","",9.51667,138.11667,"Yap","Fringing","Pelak",NA,"Caroline Islands",0,0,""
"29",766,"","","","",-13.78333,-172.16667,"Western Samoa Reefs","Barrier/Fringing","Western Samoa",NA,"Samoa Islands",0,0,""
"30",8296,"","","","",-13.65,-172.43333,"Savai'i","Fringing","Savai'i",NA,"",0,0,""
"31",8297,"","","","",-13.81667,-172.16667,"Apolima","","Apolima",NA,"",0,0,""
"32",8822,"","","","",-13.5,-172.83333,"Savai'i","","Cape Puava",NA,"Savai'i",0,0,""
"33",3571,"","","","",17.9,-62.85,"French Antilles","Patch Reef","St. Barthelemy",NA,"",0,1,""
"34",11480,"","","","",17.88633,-62.80467,"","Fringing","Anse Grande Saline",NA,"",0,0,""
"35",11479,"","","","",17.90217,-62.85967,"","Fringing","Gros Islets",NA,"",0,0,""
"36",10624,"","","","",18.46667,-64.51667,"Great Camanoe Island","","Diamond Reef",NA,"",0,0,""
"37",10625,"","","","",18.33333,-64.61667,"","","Pelican Island",NA,"",0,0,""
"38",10623,"","","","",18.48333,-64.45,"Great Dog Island","","Coral Gardens",NA,"",0,0,""
"39",4179,"","","","",19.55,113.05,"South China Sea","Bank","Saint Esprit Shoal",NA,"",0,0,""
