,,,site,Bleached
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
,,,site_2,F
